trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.5, 'e': 0.00047953155208806027}",25,0,35.13778396196294,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.00045555497448365723}",35,0,49.818685948062885,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.00043277722575947434}",20,13,12.898008462451585,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.00041113836447150063}",25,7,18.32688274677228,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.0003905814462479256}",25,12,7.788140354821863,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.00037105237393552927}",20,0,-26.59719028738069,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.0003524997552387528}",20,8,19.656559015625074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.00033487476747681515}",25,14,17.26821884166443,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.00031813102910297435}",35,12,33.342723008729635,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.0003022244776478256}",25,0,37.73168248260453,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.00028711325376543437}",20,1,27.172121015158684,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.00027275759107716263}",20,10,14.264913691278457,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.00025911971152330445}",25,0,29.29410380245877,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.00024616372594713924}",25,0,-18.97894973177698,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.00023385553964978226}",25,4,31.11479557541711,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.00022216276266729315}",30,0,38.65419535852373,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.00021105462453392847}",25,0,11.546090050187436,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
