trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1025,False,"{'a': 0.5, 'e': 0.045976644218869274}",20,3,27.58621399222738,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1026,False,"{'a': 0.5, 'e': 0.04583871428621267}",25,4,32.81788931458472,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1027,False,"{'a': 0.5, 'e': 0.04570119814335403}",25,14,17.910297674916634,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1028,False,"{'a': 0.5, 'e': 0.04556409454892396}",25,13,25.014767980826353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1029,False,"{'a': 0.5, 'e': 0.04542740226527719}",25,14,-25.2998726609822,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1030,False,"{'a': 0.5, 'e': 0.04529112005848136}",30,24,12.647651065448217,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1031,False,"{'a': 0.5, 'e': 0.045155246698305916}",25,0,37.33592115879183,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1032,False,"{'a': 0.5, 'e': 0.045019780958211}",25,12,24.35004318077292,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1033,False,"{'a': 0.5, 'e': 0.04488472161533636}",20,9,21.605955796930356,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1034,False,"{'a': 0.5, 'e': 0.04475006745049036}",20,3,18.171010948875434,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1035,False,"{'a': 0.5, 'e': 0.044615817248138886}",20,11,17.204123437279073,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1036,False,"{'a': 0.5, 'e': 0.04448196979639447}",20,10,5.95752444448051,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1037,False,"{'a': 0.5, 'e': 0.04434852388700528}",25,0,42.884151772800195,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1038,False,"{'a': 0.5, 'e': 0.04421547831534427}",20,5,20.401136650166045,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1039,False,"{'a': 0.5, 'e': 0.044082831880398236}",30,16,29.010354637523367,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1040,False,"{'a': 0.5, 'e': 0.04395058338475704}",20,14,10.157681266173869,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1041,False,"{'a': 0.5, 'e': 0.043818731634602766}",25,1,26.002357039435594,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
